parent_company,subsidiary_name,source,reason
Meta,Andale Acquisition Corporation (Delaware),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Microsoft,Microsoft Ireland Research Unlimited Company,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Ireland
Microsoft,Microsoft Global Finance Unlimited Company,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Ireland
Microsoft,Microsoft Ireland Operations Limited,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Ireland
Microsoft,Microsoft Online Inc.,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — United States
Microsoft,LinkedIn Corporation,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — United States
Microsoft,LinkedIn Ireland Unlimited Company,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Ireland
Microsoft,Activision Blizzard Inc.,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — United States
Microsoft,Activision Publishing Inc.,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — United States
Microsoft,Microsoft Ireland Research,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Ireland
Microsoft,Microsoft Global Finance,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Ireland
Microsoft,Nuance Communications Inc.,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — United States
Microsoft,Microsoft Regional Sales Pte Ltd,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Singapore
Microsoft,Microsoft Operations Pte Ltd,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Singapore
Microsoft,Microsoft Regional Sales Corporation,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — United States
Microsoft,Microsoft Capital Group LLC,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — United States
Microsoft,Microsoft Operations Puerto Rico LLC,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Puerto Rico
Microsoft,Skype Communications S.á r.l.,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Luxembourg
Microsoft,Mojang Synergies AB,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Sweden
Microsoft,Microsoft Licensing GP,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — United States
Microsoft,MOL Corporation,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — United States
Microsoft,Microsoft Mobile Oy,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Finland
