year,topic,count,topic_label
2020,6,2,6_sem fio_digital_para_fio
2020,7,2,7_automated fabrication_manufacturing process_machining_fabrication
2020,8,1,8_propeller blades_propellers_propellers aerial_generated propeller
2020,9,1,9_layer material_forming layer_melt material_alloy
2020,10,2,10_vorrichtung_verfahren zum_und_einer
2020,11,1,11_radar_second radar_gesture application_gestures
2020,15,1,15_uav charge_vehicles uavs_battery uav_vehicle uav
2020,18,5,18_propellers aerial_rotor blades_blades aerial_generated aerial
2020,19,1,19_nfc enabled_field nfc_low power_nfc
2020,20,1,20_operating voltages_operating voltage_voltage control_voltage adjustment
2020,21,1,21_controlling lighting_lighting_lighting source_controlled power
2021,0,231,0_transmit_radio_monitoring_frequency
2021,1,5,1_sensors detecting_lidar_detecting_onboard sensors
2021,2,1,2_navigation application_map_maps_mapping
2021,3,3,3_solar panel_solar panels_solar power_solar energy
2021,4,3,4_power aerial_aerial vehicle_aerial vehicles_wind turbine
2021,5,3,5_fuel cell_fuel cells_cell fuel_provide fuel
2021,6,2,6_sem fio_digital_para_fio
2021,7,1,7_automated fabrication_manufacturing process_machining_fabrication
2021,8,2,8_propeller blades_propellers_propellers aerial_generated propeller
2021,10,3,10_vorrichtung_verfahren zum_und_einer
2021,11,4,11_radar_second radar_gesture application_gestures
2021,12,1,12_second robotic_robotic_robotic robotic_robotic control
2021,13,1,13_tethered aerial_energy aerial_wind turbine_wind energy
2021,15,4,15_uav charge_vehicles uavs_battery uav_vehicle uav
2021,16,2,16_neural programs_trained neural_deep neural_learning models
2021,18,1,18_propellers aerial_rotor blades_blades aerial_generated aerial
2021,19,1,19_nfc enabled_field nfc_low power_nfc
2021,21,2,21_controlling lighting_lighting_lighting source_controlled power
2021,22,1,22_magnetically attached_magnetic_detect magnetic_magnetically
2022,0,188,0_transmit_radio_monitoring_frequency
2022,1,5,1_sensors detecting_lidar_detecting_onboard sensors
2022,2,2,2_navigation application_map_maps_mapping
2022,4,1,4_power aerial_aerial vehicle_aerial vehicles_wind turbine
2022,5,2,5_fuel cell_fuel cells_cell fuel_provide fuel
2022,6,4,6_sem fio_digital_para_fio
2022,7,2,7_automated fabrication_manufacturing process_machining_fabrication
2022,9,1,9_layer material_forming layer_melt material_alloy
2022,10,1,10_vorrichtung_verfahren zum_und_einer
2022,11,5,11_radar_second radar_gesture application_gestures
2022,12,1,12_second robotic_robotic_robotic robotic_robotic control
2022,14,1,14_classifier_prediction using_machine learned_prediction model
2022,15,1,15_uav charge_vehicles uavs_battery uav_vehicle uav
2022,17,2,17_audio receiver_audio recording_audio input_integrated audio
2022,21,1,21_controlling lighting_lighting_lighting source_controlled power
2023,0,205,0_transmit_radio_monitoring_frequency
2023,1,2,1_sensors detecting_lidar_detecting_onboard sensors
2023,2,2,2_navigation application_map_maps_mapping
2023,6,4,6_sem fio_digital_para_fio
2023,9,1,9_layer material_forming layer_melt material_alloy
2023,10,1,10_vorrichtung_verfahren zum_und_einer
2023,11,1,11_radar_second radar_gesture application_gestures
2023,12,1,12_second robotic_robotic_robotic robotic_robotic control
2023,14,1,14_classifier_prediction using_machine learned_prediction model
2023,15,1,15_uav charge_vehicles uavs_battery uav_vehicle uav
2023,16,2,16_neural programs_trained neural_deep neural_learning models
2023,19,1,19_nfc enabled_field nfc_low power_nfc
2023,20,1,20_operating voltages_operating voltage_voltage control_voltage adjustment
2024,0,215,0_transmit_radio_monitoring_frequency
2024,1,3,1_sensors detecting_lidar_detecting_onboard sensors
2024,2,1,2_navigation application_map_maps_mapping
2024,5,2,5_fuel cell_fuel cells_cell fuel_provide fuel
2024,9,3,9_layer material_forming layer_melt material_alloy
2024,11,1,11_radar_second radar_gesture application_gestures
2024,14,1,14_classifier_prediction using_machine learned_prediction model
2024,15,1,15_uav charge_vehicles uavs_battery uav_vehicle uav
2025,0,157,0_transmit_radio_monitoring_frequency
2025,2,1,2_navigation application_map_maps_mapping
2025,5,1,5_fuel cell_fuel cells_cell fuel_provide fuel
2025,9,1,9_layer material_forming layer_melt material_alloy
2025,10,1,10_vorrichtung_verfahren zum_und_einer
2025,16,1,16_neural programs_trained neural_deep neural_learning models
