company,year,topic,count,topic_label
Alphabet,2017,1,19,1_power management_power consumption_power mode_throttling
Alphabet,2017,2,6,2_battery cells_anode cathode_battery cell_cathode anode
Alphabet,2017,3,7,3_aerial vehicles_aerial vehicle_unmanned aerial_aerial
Alphabet,2017,4,4,4_cooling_thermal control_liquid cooling_thermal management
Alphabet,2017,5,1,5_boost converter_power converters_power converter_converters
Alphabet,2017,6,3,6_memory management_memory banks_memory controller_memory blocks
Alphabet,2017,10,2,10_packet processing_tcp_datagram protocol_protocol
Alphabet,2017,12,3,12_ambient light_ambient lighting_sensor ambient_light sensors
Alphabet,2017,13,1,13_power wirelessly_power transmitting_power receiving_transmitting power
Alphabet,2017,15,1,15_voice activated_voice commands_speech recognition_voice guidance
Alphabet,2017,16,3,16_trained neural_deep neural_neural_hardware accelerator
Alphabet,2017,17,1,17_thread scheduling_thread scheduler_multiprocessor_cores
Alphabet,2017,19,1,19_storage control_storage controller_storage power_state storage
Alphabet,2017,22,1,22_protocols_routing_multi hop_packet core
Alphabet,2017,24,1,24_messages processing_processing core_processing cores_chip architecture
Alphabet,2017,29,1,29_energy usage_consumption hardware_energy utilization_power consumption
Alphabet,2017,31,1,31_connection managing_background connections_cellular telephone_communicate cellular
Alphabet,2017,33,1,33_fuel cell_fuel cells_cell fuel_power controller
Alphabet,2017,35,2,35_backup power_power grid_grid power_power main
Alphabet,2018,0,5,0_radio access_transmit_transmitting_radio resource
Alphabet,2018,1,17,1_power management_power consumption_power mode_throttling
Alphabet,2018,2,9,2_battery cells_anode cathode_battery cell_cathode anode
Alphabet,2018,3,1,3_aerial vehicles_aerial vehicle_unmanned aerial_aerial
Alphabet,2018,4,3,4_cooling_thermal control_liquid cooling_thermal management
Alphabet,2018,5,5,5_boost converter_power converters_power converter_converters
Alphabet,2018,6,3,6_memory management_memory banks_memory controller_memory blocks
Alphabet,2018,10,2,10_packet processing_tcp_datagram protocol_protocol
Alphabet,2018,12,4,12_ambient light_ambient lighting_sensor ambient_light sensors
Alphabet,2018,13,2,13_power wirelessly_power transmitting_power receiving_transmitting power
Alphabet,2018,24,1,24_messages processing_processing core_processing cores_chip architecture
Alphabet,2018,27,1,27_display processing_image display_processing display_managing display
Alphabet,2018,31,1,31_connection managing_background connections_cellular telephone_communicate cellular
Alphabet,2018,32,1,32_light control_control light_light emitters_light sensor
Alphabet,2018,34,1,34_film transistors_film transistor_pixels_transistors
Alphabet,2018,35,1,35_backup power_power grid_grid power_power main
Alphabet,2019,0,5,0_radio access_transmit_transmitting_radio resource
Alphabet,2019,1,8,1_power management_power consumption_power mode_throttling
Alphabet,2019,2,4,2_battery cells_anode cathode_battery cell_cathode anode
Alphabet,2019,3,4,3_aerial vehicles_aerial vehicle_unmanned aerial_aerial
Alphabet,2019,4,5,4_cooling_thermal control_liquid cooling_thermal management
Alphabet,2019,5,3,5_boost converter_power converters_power converter_converters
Alphabet,2019,7,1,7_wake monitoring_wake receiver_monitoring radio_wake radio
Alphabet,2019,8,1,8_battery management_battery operation_dynamic battery_battery charging
Alphabet,2019,9,2,9_electrolyte lithium_electrochemical cell_cells electrolyte_battery cells
Alphabet,2019,11,1,11_memory cache_cache memory_instruction cache_cache cache
Alphabet,2019,12,1,12_ambient light_ambient lighting_sensor ambient_light sensors
Alphabet,2019,13,2,13_power wirelessly_power transmitting_power receiving_transmitting power
Alphabet,2019,15,6,15_voice activated_voice commands_speech recognition_voice guidance
Alphabet,2019,16,1,16_trained neural_deep neural_neural_hardware accelerator
Alphabet,2019,17,1,17_thread scheduling_thread scheduler_multiprocessor_cores
Alphabet,2019,18,1,18_printed boards_printed board_electrically_conductive layers
Alphabet,2019,22,1,22_protocols_routing_multi hop_packet core
Alphabet,2019,24,1,24_messages processing_processing core_processing cores_chip architecture
Alphabet,2019,33,1,33_fuel cell_fuel cells_cell fuel_power controller
Alphabet,2019,34,1,34_film transistors_film transistor_pixels_transistors
Alphabet,2019,35,1,35_backup power_power grid_grid power_power main
Alphabet,2020,0,4,0_radio access_transmit_transmitting_radio resource
Alphabet,2020,1,3,1_power management_power consumption_power mode_throttling
Alphabet,2020,2,3,2_battery cells_anode cathode_battery cell_cathode anode
Alphabet,2020,3,10,3_aerial vehicles_aerial vehicle_unmanned aerial_aerial
Alphabet,2020,4,4,4_cooling_thermal control_liquid cooling_thermal management
Alphabet,2020,5,1,5_boost converter_power converters_power converter_converters
Alphabet,2020,9,2,9_electrolyte lithium_electrochemical cell_cells electrolyte_battery cells
Alphabet,2020,12,2,12_ambient light_ambient lighting_sensor ambient_light sensors
Alphabet,2020,13,1,13_power wirelessly_power transmitting_power receiving_transmitting power
Alphabet,2020,14,3,14_display substrate_substrate display_flexible substrate_substrate flexible
Alphabet,2020,15,1,15_voice activated_voice commands_speech recognition_voice guidance
Alphabet,2020,16,2,16_trained neural_deep neural_neural_hardware accelerator
Alphabet,2020,22,1,22_protocols_routing_multi hop_packet core
Alphabet,2020,32,2,32_light control_control light_light emitters_light sensor
Alphabet,2020,35,1,35_backup power_power grid_grid power_power main
Alphabet,2021,0,2,0_radio access_transmit_transmitting_radio resource
Alphabet,2021,1,5,1_power management_power consumption_power mode_throttling
Alphabet,2021,2,2,2_battery cells_anode cathode_battery cell_cathode anode
Alphabet,2021,3,16,3_aerial vehicles_aerial vehicle_unmanned aerial_aerial
Alphabet,2021,4,2,4_cooling_thermal control_liquid cooling_thermal management
Alphabet,2021,6,3,6_memory management_memory banks_memory controller_memory blocks
Alphabet,2021,11,1,11_memory cache_cache memory_instruction cache_cache cache
Alphabet,2021,12,1,12_ambient light_ambient lighting_sensor ambient_light sensors
Alphabet,2021,15,2,15_voice activated_voice commands_speech recognition_voice guidance
Alphabet,2021,16,5,16_trained neural_deep neural_neural_hardware accelerator
Alphabet,2021,18,3,18_printed boards_printed board_electrically_conductive layers
Alphabet,2021,29,1,29_energy usage_consumption hardware_energy utilization_power consumption
Alphabet,2021,30,1,30_mapping navigation_navigation application_map_maps
Alphabet,2021,35,1,35_backup power_power grid_grid power_power main
Alphabet,2022,0,8,0_radio access_transmit_transmitting_radio resource
Alphabet,2022,1,6,1_power management_power consumption_power mode_throttling
Alphabet,2022,2,3,2_battery cells_anode cathode_battery cell_cathode anode
Alphabet,2022,3,6,3_aerial vehicles_aerial vehicle_unmanned aerial_aerial
Alphabet,2022,4,3,4_cooling_thermal control_liquid cooling_thermal management
Alphabet,2022,5,1,5_boost converter_power converters_power converter_converters
Alphabet,2022,6,1,6_memory management_memory banks_memory controller_memory blocks
Alphabet,2022,7,1,7_wake monitoring_wake receiver_monitoring radio_wake radio
Alphabet,2022,8,3,8_battery management_battery operation_dynamic battery_battery charging
Alphabet,2022,12,1,12_ambient light_ambient lighting_sensor ambient_light sensors
Alphabet,2022,13,1,13_power wirelessly_power transmitting_power receiving_transmitting power
Alphabet,2022,14,1,14_display substrate_substrate display_flexible substrate_substrate flexible
Alphabet,2022,15,2,15_voice activated_voice commands_speech recognition_voice guidance
Alphabet,2022,16,2,16_trained neural_deep neural_neural_hardware accelerator
Alphabet,2022,18,1,18_printed boards_printed board_electrically_conductive layers
Alphabet,2022,19,1,19_storage control_storage controller_storage power_state storage
Alphabet,2022,22,3,22_protocols_routing_multi hop_packet core
Alphabet,2022,23,1,23_surface glass_glass substrate_glass_automated fabrication
Alphabet,2022,33,1,33_fuel cell_fuel cells_cell fuel_power controller
Alphabet,2023,0,3,0_radio access_transmit_transmitting_radio resource
Alphabet,2023,1,5,1_power management_power consumption_power mode_throttling
Alphabet,2023,2,2,2_battery cells_anode cathode_battery cell_cathode anode
