company,1,0,2,3,4,6,5,10,8,14,13,12,11,9,7,Other
Apple,11.64,25.73,15.54,0.4,2.18,2.58,5.62,0.86,2.18,2.18,1.79,2.12,2.78,4.03,4.96,15.41
Microsoft,21.8,9.95,6.95,0.32,5.53,3.16,1.11,4.74,2.53,0.95,1.26,0.16,1.9,0.47,0.0,39.18
Amazon,13.25,6.62,7.62,20.86,4.97,1.66,0.66,1.66,2.98,0.66,1.99,1.32,0.99,0.33,0.0,34.44
Meta,16.78,12.08,17.45,6.04,4.7,2.01,2.01,3.36,2.01,3.36,0.67,1.34,0.0,0.0,0.0,28.19
Alphabet,21.04,10.37,7.01,19.05,6.4,3.05,2.9,1.68,2.29,0.76,1.52,2.29,0.61,0.91,0.3,19.82
